time_s,radius_cm
60.0,1.9957666666666665
120.0,1.9915333333333334
180.0,1.9873000000000003
240.0,1.9830666666666668
300.0,1.9788333333333332
360.0,1.9746
420.0,1.9703666666666664
480.0,1.9661333333333333
540.0,1.9619000000000002
600.0,1.9576666666666667
660.0,1.9534333333333334
720.0,1.9491999999999998
780.0,1.9449666666666667
840.0,1.9407333333333336
900.0,1.9365
960.0,1.9322666666666666
1020.0,1.9280333333333333
1080.0,1.9237999999999997
1140.0,1.9195666666666666
1200.0,1.9153333333333336
1260.0,1.9111
1320.0,1.9068666666666667
1380.0,1.9026333333333332
1440.0,1.8984
1500.0,1.8941666666666666
1560.0,1.8899333333333335
1620.0,1.8857
1680.0,1.8814666666666666
1740.0,1.877233333333333
1800.0,1.873
1860.0,1.8703666666666667
1920.0,1.8677333333333335
1980.0,1.8651
2040.0,1.8624666666666667
2100.0,1.8598333333333334
2160.0,1.8571999999999997
2220.0,1.854566666666667
2280.0,1.8519333333333337
2340.0,1.8493
2400.0,1.8466666666666667
2460.0,1.8440333333333332
2520.0,1.8414
2580.0,1.8387666666666667
2640.0,1.8361333333333334
2700.0,1.8335000000000001
2760.0,1.8308666666666666
2820.0,1.8282333333333334
2880.0,1.8256000000000001
2940.0,1.8229666666666664
3000.0,1.8203333333333336
3060.0,1.8177000000000003
3120.0,1.8150666666666666
3180.0,1.8124333333333333
3240.0,1.8097999999999999
3300.0,1.8071666666666666
3360.0,1.8045333333333333
3420.0,1.8019
3480.0,1.7992666666666668
3540.0,1.7966333333333333
3600.0,1.794
3660.0,1.7909666666666668
3720.0,1.7879333333333334
3780.0,1.7849
3840.0,1.7818666666666667
3900.0,1.7788333333333337
3960.0,1.7758
4020.0,1.7727666666666666
4080.0,1.7697333333333332
4140.0,1.7667000000000002
4200.0,1.763666666666667
4260.0,1.760633333333333
4320.0,1.7576
4380.0,1.7545666666666668
4440.0,1.7515333333333334
4500.0,1.7485
4560.0,1.7454666666666667
4620.0,1.7424333333333333
4680.0,1.7394
4740.0,1.7363666666666666
4800.0,1.7333333333333332
4860.0,1.7303000000000002
4920.0,1.727266666666667
4980.0,1.7242333333333333
5040.0,1.7212
5100.0,1.7181666666666668
5160.0,1.7151333333333334
5220.0,1.7121000000000002
5280.0,1.7090666666666667
5340.0,1.7060333333333333
5400.0,1.703
5460.0,1.7004000000000001
5520.0,1.6978
5580.0,1.6952000000000003
5640.0,1.6926
5700.0,1.69
5760.0,1.6874
5820.0,1.6848
5880.0,1.6822
5940.0,1.6795999999999998
6000.0,1.677
6060.0,1.6744
6120.0,1.6718
6180.0,1.6691999999999998
6240.0,1.6666
6300.0,1.6640000000000001
6360.0,1.6614
6420.0,1.6588000000000003
6480.0,1.6562000000000001
6540.0,1.6536
6600.0,1.651
6660.0,1.6484000000000003
6720.0,1.6458
6780.0,1.6431999999999998
6840.0,1.6406
6900.0,1.638
6960.0,1.6354
7020.0,1.6327999999999998
7080.0,1.6302
7140.0,1.6276
7200.0,1.625
7260.0,1.6238
